project_id,project_name,project_type,geography_id,organization_id,start_date,end_date,budget_usd,status
311,Technology Initiative Paper,Health,20,249,2020-07-16,2021-08-27,181698.1,Cancelled
312,Economic Development Initiative Clearly,Community Development,54,54,2019-09-27,2020-07-23,410273.46,Cancelled
313,Community Development Initiative Maintain,Agriculture,178,545,2019-10-31,2020-11-17,9115.49,Active
314,Health Initiative Risk,Community Development,220,429,2021-10-16,2022-09-20,136025.13,On Hold
315,Community Development Initiative Again,Health,3,343,2017-08-23,2019-07-11,426523.29,On Hold
316,Technology Initiative Country,Economic Development,133,496,2020-11-25,2021-11-07,461087.31,Active
317,Education Initiative End,Technology,195,289,2019-12-03,2020-10-22,237887.78,On Hold
318,Environment Initiative Above,Agriculture,99,6,2022-09-17,2023-12-27,150870.27,Completed
319,Education Initiative Send,Environment,185,561,2023-11-24,2025-08-31,459831.2,Cancelled
320,Education Initiative Herself,Agriculture,111,81,2019-03-01,2020-02-28,231715.55,Cancelled
321,Economic Development Initiative Sea,Education,208,278,2025-02-25,2026-08-03,175347.87,Completed
322,Environment Initiative Actually,Environment,222,439,2021-10-02,2022-10-02,311738.38,Cancelled
323,Environment Initiative Heart,Environment,85,301,2024-07-22,2026-07-09,142996.44,On Hold
324,Technology Initiative Strong,Agriculture,248,71,2023-06-27,2025-03-30,121622.08,Active
325,Economic Development Initiative My,Health,185,596,2021-11-11,2022-09-05,495606.68,Completed
326,Education Initiative Message,Community Development,85,617,2019-12-29,2021-08-25,220307.28,Cancelled
327,Community Development Initiative Town,Education,179,596,2018-04-08,2019-09-10,108353.45,Cancelled
328,Economic Development Initiative Course,Economic Development,7,114,2017-03-09,2018-05-18,80829.65,On Hold
329,Agriculture Initiative Field,Technology,76,491,2024-06-27,2026-06-17,304001.2,Cancelled
330,Environment Initiative Series,Education,236,72,2024-03-23,2025-09-11,490688.25,Cancelled
331,Health Initiative Low,Community Development,34,719,2023-03-11,2024-10-22,461189.94,Active
332,Education Initiative Indeed,Community Development,108,344,2021-11-01,2023-08-19,308578.11,Active
333,Health Initiative Look,Education,97,36,2018-07-08,2019-11-23,70003.24,Completed
334,Community Development Initiative Art,Agriculture,62,255,2020-02-06,2021-11-07,31164.48,Cancelled
335,Technology Initiative Democrat,Community Development,184,769,2019-09-16,2020-09-10,454677.68,Active
336,Environment Initiative Deal,Community Development,167,166,2019-07-15,2021-07-13,145713.06,Cancelled
337,Environment Initiative Exactly,Health,221,65,2018-11-04,2020-04-27,400901.37,Active
338,Community Development Initiative Move,Education,54,557,2025-02-11,2025-12-21,350771.61,Cancelled
339,Economic Development Initiative Weight,Environment,139,777,2024-01-19,2025-01-23,399983.42,Cancelled
340,Education Initiative Fire,Agriculture,179,306,2019-05-30,2021-01-25,176624.84,On Hold
341,Environment Initiative Interesting,Environment,60,363,2019-08-13,2021-07-18,219339.16,On Hold
342,Economic Development Initiative Arm,Education,43,644,2020-01-17,2020-10-04,427984.63,Completed
343,Health Initiative Not,Education,241,176,2018-10-23,2020-04-01,457860.75,Cancelled
344,Economic Development Initiative But,Education,234,324,2022-04-14,2023-12-28,417919.65,On Hold
345,Economic Development Initiative Member,Community Development,156,539,2023-05-14,2024-12-13,381784.02,Completed
346,Economic Development Initiative Choice,Health,178,546,2024-06-19,2026-06-18,495123.49,Cancelled
347,Agriculture Initiative Friend,Health,12,249,2019-02-20,2019-09-24,44225.02,Completed
348,Technology Initiative Provide,Economic Development,139,569,2024-03-25,2025-03-11,434188.62,Cancelled
349,Technology Initiative Pattern,Community Development,194,172,2022-02-16,2022-11-16,108756.05,Completed
350,Health Initiative Address,Technology,111,391,2020-06-10,2020-12-24,263862.37,On Hold
351,Technology Initiative Major,Environment,238,767,2020-02-04,2020-12-09,242862.44,Cancelled
352,Environment Initiative Church,Economic Development,180,680,2024-08-13,2025-06-28,390009.01,Completed
353,Health Initiative Effect,Economic Development,119,757,2018-10-11,2020-08-03,192465.93,Active
354,Health Initiative Yes,Education,130,495,2018-07-06,2019-09-08,227173.73,Completed
355,Environment Initiative After,Education,245,762,2021-09-18,2022-12-17,8590.31,Completed
356,Health Initiative Gas,Technology,57,273,2022-12-20,2024-12-18,320674.75,On Hold
357,Environment Initiative Sing,Health,88,436,2025-02-19,2026-08-30,90874.71,Completed
358,Environment Initiative Five,Community Development,183,786,2017-10-28,2019-08-02,23092.58,On Hold
359,Health Initiative Nature,Agriculture,136,366,2022-01-07,2023-06-09,354330.85,Cancelled
360,Education Initiative Above,Health,199,474,2017-03-25,2018-05-02,114210.05,Completed
361,Economic Development Initiative Quite,Agriculture,209,459,2017-11-19,2018-11-08,461776.54,Active
362,Community Development Initiative Dog,Health,202,261,2017-10-10,2019-02-21,25670.62,Completed
363,Agriculture Initiative Argue,Agriculture,75,421,2021-01-03,2022-06-06,262997.74,Completed
364,Environment Initiative Democratic,Community Development,10,301,2017-03-29,2018-12-29,56609.28,Cancelled
365,Economic Development Initiative Medical,Economic Development,219,71,2021-10-20,2023-08-19,183044.13,Cancelled
366,Environment Initiative Race,Technology,166,472,2023-06-12,2024-09-26,120259.1,Cancelled
367,Environment Initiative Decide,Economic Development,3,305,2022-05-12,2023-10-25,482135.26,On Hold
368,Community Development Initiative Poor,Agriculture,192,688,2017-02-08,2019-01-16,218460.99,Completed
369,Health Initiative Set,Community Development,46,639,2016-05-27,2017-06-23,424829.67,Completed
370,Economic Development Initiative Understand,Economic Development,85,361,2021-10-22,2023-02-04,269656.23,Cancelled
371,Education Initiative Himself,Community Development,218,434,2021-12-05,2022-07-02,446127.99,Completed
372,Agriculture Initiative Task,Economic Development,216,608,2021-06-18,2022-09-09,340357.14,On Hold
373,Environment Initiative Them,Agriculture,9,500,2024-07-22,2025-06-30,209227.31,On Hold
374,Education Initiative Great,Education,33,736,2019-02-10,2020-03-07,28363.25,Completed
375,Education Initiative Service,Community Development,31,248,2024-12-14,2026-11-17,362063.63,Cancelled
376,Technology Initiative Five,Technology,97,148,2022-09-18,2023-06-18,274429.37,Completed
377,Environment Initiative Set,Economic Development,160,55,2016-07-28,2018-01-23,163631.9,Active
378,Economic Development Initiative Up,Community Development,5,120,2019-03-30,2019-11-04,186157.78,Completed
379,Environment Initiative Control,Agriculture,215,203,2016-06-30,2017-07-26,166408.3,Cancelled
380,Health Initiative Off,Community Development,168,461,2018-05-03,2018-11-20,248046.07,Cancelled
381,Agriculture Initiative Away,Environment,94,623,2023-12-11,2024-08-19,218589.23,On Hold
382,Community Development Initiative Likely,Economic Development,171,303,2019-12-11,2021-09-24,179959.35,Cancelled
383,Economic Development Initiative Gas,Agriculture,157,584,2018-04-24,2019-10-04,188572.51,On Hold
384,Agriculture Initiative Identify,Agriculture,230,665,2021-06-11,2022-01-03,123795.29,Cancelled
385,Economic Development Initiative Parent,Community Development,162,85,2017-04-13,2018-02-24,224339.67,On Hold
386,Agriculture Initiative Plant,Technology,74,77,2023-12-30,2025-12-05,281779.63,On Hold
387,Community Development Initiative System,Agriculture,34,757,2024-05-23,2025-05-02,427353.98,On Hold
388,Technology Initiative Wide,Education,242,465,2022-12-18,2023-11-09,447638.94,Completed
389,Environment Initiative Contain,Community Development,81,99,2017-02-04,2017-10-18,437464.78,Completed
390,Agriculture Initiative Course,Technology,233,384,2017-04-04,2018-01-03,248255.89,On Hold
391,Health Initiative Majority,Education,206,210,2022-11-17,2024-04-07,24978.29,Completed
392,Community Development Initiative Fine,Environment,196,638,2024-03-06,2025-12-30,441445.41,Cancelled
393,Education Initiative Recent,Economic Development,188,794,2024-02-05,2025-02-26,275727.98,On Hold
394,Health Initiative End,Technology,187,372,2019-03-22,2019-11-15,343184.99,Completed
395,Community Development Initiative Just,Education,202,173,2024-05-01,2025-04-22,370224.21,On Hold
396,Education Initiative These,Community Development,180,178,2021-01-25,2022-05-12,293461.03,Cancelled
397,Agriculture Initiative Responsibility,Community Development,214,23,2023-11-27,2025-01-19,290057.89,Active
398,Technology Initiative Audience,Community Development,23,565,2017-10-25,2018-10-20,451083.23,On Hold
399,Agriculture Initiative Painting,Environment,147,325,2016-08-18,2017-08-01,293582.32,Active
400,Agriculture Initiative Season,Technology,123,623,2018-10-01,2019-04-26,456983.59,Active
